type,name,notice,furigana
燃やせるごみ ,廃油ボックス ,,は
燃やせるごみ ,剥製 ,50センチメートルを超えるものは大型ごみ ,は
燃やせないごみ ,剥製ケース ,50センチメートルを超えるものは大型ごみ　,は
燃やせないごみ ,バケツ（金属製） ,"貼り紙などで「不用品」と表示する
50センチメートルを超えるものは大型ごみ",は
大型ごみ ,はしご ,2メートル以上は処理困難物,は
パソコンリサイクル,パソコン（ディスプレイ） ,パソコンリサイクル対象機器（液晶・ブラウン管のもの）,は
特定大型ごみ ,パソコンデスク ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",は
パソコンリサイクル ,パソコン（ノート型） ,パソコンリサイクル対象機器,は
パソコンリサイクル ,パソコン（本体） ,パソコンリサイクル対象機器,は
大型ごみ ,パソコンラック ,50センチメートル以下は燃やせないごみ,は
燃やせるごみ ,発煙筒 ,発火しないよう水に湿らせておく,は
処理困難物 ,バッテリー ,市が収集処理できないもの ,は
処理困難物 ,発電機 ,市が収集処理できないもの ,は
燃やせないごみ ,バット ,大きさにかかわらず燃やせないごみ,は
プラスチック製容器包装類 ,発泡スチロール ,プラマークがなければ燃やせるごみ,は
燃やせないごみ ,花台 ,50センチメートルを超えるものは大型ごみ,は
燃やせないごみ ,刃物 ,"紙などで包み「注意」と表示する
50センチメートルを超えるものは大型ごみ",は
燃やせないごみ ,パン焼き器 ,50センチメートルを超えるものは大型ごみ,は
処理困難物,ピアノ ,"市が収集処理できないもの
電子ピアノも同様の扱い",ひ
燃やせないごみ ,ビーチパラソル ,140センチメートルを超えるものは大型ごみ,ひ
燃やせるごみ,ビート板 ,50センチメートルを超えるものは大型ごみ,ひ
燃やせないごみ ,ピッケル ,50センチメートルを超えるものは大型ごみ,ひ
燃やせないごみ ,ビデオカメラ ,50センチメートルを超えるものは大型ごみ　,ひ
燃やせるごみ ,ビデオテープ ,,ひ
燃やせないごみ ,ビデオデッキ ,50センチメートルを超えるものは大型ごみ,ひ
大型ごみ ,ひな壇 ,50センチメートル以下は燃やせないごみ,ひ
大型ごみ ,ひな人形 ,"セットで1点
50センチメートル以下は燃やせないごみ",ひ
燃やせるごみ ,ビニールクロス（床用） ,,ひ
燃やせるごみ ,ビニールシート ,,ひ
燃やせるごみ ,ビニールプール ,,ひ
燃やせないごみ ,火鉢 ,50センチメートルを超えるものは大型ごみ　,ひ
びん ,びん（医薬品用） ,"中を空にする
乳白色のものは「燃やせないごみ」",ひ
びん ,びん（化粧品用） ,"中を空にする
乳白色のものは「燃やせないごみ」",ひ
びん ,びん（食料・飲料用） ,中を空にする,ひ
燃やせないごみ ,ファックス機 ,50センチメートルを超えるものは大型ごみ,ふ
燃やせないごみ ,笛 ,,ふ
大型ごみ ,フェンス ,解体する ,ふ
金属類 ,フォーク（金属製）,「金属類」指定10品目,ふ
大型ごみ ,ふすま ,"3枚まで1点
板でできたふすまは1枚で1点",ふ
大型ごみ ,仏壇 ,50センチメートル以下は燃やせないごみ,ふ
大型ごみ ,ふとん ,"3枚まで1点
スプリング無しで折りたためるマットレスも同様の扱い",ふ
燃やせないごみ ,ふとん乾燥機 ,50センチメートルを超えるものは大型ごみ,ふ
衣類・布類 ,ふとん袋 ,ビニール製は燃やせるごみ,ふ
大型ごみ ,ぶら下がり健康器 ,,ふ
金属類 ,フライパン ,「金属類」指定10品目,ふ
大型ごみ ,ブラインド ,"4メートルまで可
幅140センチメートル以下は燃やせないごみ",ふ
燃やせないごみ ,プランター（プラスチック製） ,140センチメートルを超えるものは大型ごみ,ふ
燃やせないごみ ,プリンター ,50センチメートルを超えるものは大型ごみ ,ふ
燃やせるごみ ,ブルーシート ,,ふ
大型ごみ ,風呂釜 ,,ふ
燃やせるごみ ,フロッピーディスク ,,ふ
燃やせないごみ ,風呂のふた ,,ふ
燃やせるごみ ,風呂のマット ,,ふ
特定粗大ごみ ,プロパンガスボンベ（容量5キログラム未満） ,"中が空のものに限る
容量5キログラム以上のボンベや中がプロパンガス以外のボンベは処理困難物",ふ
燃やせないごみ ,ペール ,,へ
特定大型ごみ ,ベッド ,"解体する　　1メートル以下は大型ごみ
マットレスは別の扱いで1点",へ
特定大型ごみ ,ベッド（介護用手動式） ,"解体する　　マットレスは別の扱いで1点
まだ使用できるものは社会福祉協議会へ",へ
処理困難物 ,ベッド（介護用電動式） ,市が収集処理できないもの　まだ使用できるものは社会福祉協議会へ,へ
特定大型ごみ ,ベッド（二段式） ,上下あわせて1点　　ベッドと同様の扱い,へ
特定大型ごみ ,ベッド（パイプ） ,解体する　　ベッドと同様の扱い,へ
大型ごみ ,ベッドパット ,3枚まで1点,へ
ペットボトル ,ペットボトル ,"ペット1の表示があるもの
飲料・酒類・醤油・みりん用のものに限る",へ
大型ごみ ,ベビーカー ,50センチメートル以下は燃やせないごみ,へ
大型ごみ ,ベビーバス ,50センチメートル以下は燃やせないごみ,へ
大型ごみ ,ベビーふとん ,布団と同様,へ
燃やせないごみ ,ベルト ,,へ
燃やせないごみ ,ヘルメット ,,へ
処理困難物 ,ペンキ ,市が収集処理できないもの ,へ
燃やせないごみ ,ペンケース ,,へ
大型ごみ ,便座 ,"50センチメートル以下は燃やせないごみ
洗ってから袋に入れる　　ふたも同様の扱い ",へ
大型ごみ ,ベンチ ,50センチメートル以下は燃やせないごみ,へ
燃やせないごみ ,弁当箱 ,,へ
布類・布類 ,ボアシーツ ,シーツも同様の扱い　,ほ
燃やせないごみ ,ほうき ,大きさにかかわらず燃やせないごみ　,ほ
燃やせるごみ ,帽子 ,,ほ
燃やせないごみ ,ボウリング用ボール ,,ほ
金属類 ,ボウル（金属製） ,「金属類」指定10品目 ,ほ
燃やせないごみ,ボウル（プラスチック製） ,,ほ
燃やせるごみ ,ホース ,丸めてひもで縛る,ほ
大型ごみ ,ポータブルトイレ ,"洗ってから袋に入れる
50センチメートル以下は燃やせないごみ",ほ
燃やせるごみ ,ボール ,ボウリング用のものは燃やせないごみ　,ほ
燃やせないごみ ,ポール（鉄製） ,50センチメートルを超え2メートル未満のものは大型ごみ　　3本まで1点　,ほ
燃やせないごみ ,ポール（プラスチック製） ,"140センチメートルを超えるものは大型ごみ
3本まで1点　",ほ
燃やせないごみ ,木刀 ,大きさにかかわらず燃やせないごみ,ほ
大型ごみ ,歩行器 ,50センチメートル以下は燃やせないごみ,ほ
大型ごみ ,ホットカーペット ,カバーとセットで1点　　1畳以下は燃やせるごみ,ほ
大型ごみ ,ホットカーペットカバー ,"キルティング生地で薄いものは布団と同様の扱い
1畳以下は燃やせるごみ",ほ
燃やせないごみ ,ホットプレート ,50センチメートルを超えるものは大型ごみ,ほ
大型ごみ ,ボディーボード ,50センチメートル以下は燃やせないごみ,ほ
燃やせないごみ ,ポリタンク ,"中は空にする
大きさにかかわらず燃やせないごみ",ほ
燃やせないごみ ,ポリバケツ ,"貼り紙などで「不用品」と表示する
長さ140センチメートル幅50センチメートルを超えるものは大型ごみ",ほ
燃やせないごみ ,保冷温庫 ,50センチメートルを超えるものは大型ごみ,ほ
燃やせるごみ ,保冷剤 ,,ほ
燃やせないごみ ,本立て ,50センチメートルを超えるものは大型ごみ,ほ
特定大型ごみ ,本棚・本箱 ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",ほ
燃やせるごみ ,枕 ,"大きさにかかわらず燃やせるごみ
磁気入りのものも同様の扱い",ま
木材欄を参照 ,枕木 ,,ま
大型ごみ ,マッサージ椅子 ,,ま
大型ごみ ,マットレス（スプリング入り） ,"幅140センチメートル以下のものに限る
幅140センチメートルを超えるものは処理困難物",ま
大型ごみ ,マットレス（スプリング無し） ,"3枚まで1点
スプリングがなく折りたためるものは布団と同様の扱い　",ま
燃やせないごみ ,松葉杖 ,,ま
燃やせないごみ ,まな板 ,50センチメートルを超えるものは大型ごみ,ま
木材欄を参照 ,丸太 ,,ま
木材欄を参照 ,幹 ,,み
大型ごみ ,ミシン ,"針は取り外す
50センチメートル以下は燃やせないごみ",み
燃やせないごみ ,ミニコンポ ,50センチメートルを超えるものは大型ごみ,み
大型ごみ ,ムートン ,1畳以下は燃やせるごみ,む
燃やせないごみ ,目覚まし時計 ,"電池は外す
50センチメートルを超えるものは大型ごみ",め
衣類・布類 ,毛布 ,,も
処理困難物 ,モーター（単体） ,市が収集処理できないもの,も
,工業用・農業用などのもの　,,も
燃やせるごみ ,木材 ,"長さ50センチメートル以下で直径10センチメートル以下のもの
1束30センチメートル程度",も
燃やせないごみ ,木材,"長さ50センチメートル以下で直径10センチメートルを超え20センチメートル以下のもの
1束30センチメートル程度",も
大型ごみ ,木材,"長さ50センチメートルを超え2メートル未満で直径20センチメートル以下のもの
3本まで1点",も
処理困難物 ,木材,長さ2メートルを超えるものや直径20センチメートルを超えるもの,も
大型ごみ ,餅つき機 ,50センチメートル以下は燃やせないごみ,も
大型ごみ ,木琴 ,50センチメートル以下は燃やせないごみ,も
大型ごみ ,物置（家庭用市販品） ,1坪以下のものに限る　　解体する,も
大型ごみ ,物干し竿 ,"3本まで1点（4メートルまで可）
長さ140センチメートル以下は燃やせないごみ",も
大型ごみ ,物干し台 ,"1対で1点
コンクリート台は処理困難物",も
大型ごみ ,門扉 ,"1対で1点
2メートル未満のものに限る",も
金属類 ,やかん ,「金属類」指定10品目,や
金属類 ,焼き網（餅・魚用） ,「金属類」指定10品目 ,や
処理困難物 ,薬品 ,市が収集処理できないもの ,や
特定粗大ごみ ,湯沸かし器 ,"点火装置が危険なため
電池は外す",ゆ
大型ごみ ,浴槽 ,"自分で取り外したものに限る
ホーロー製は処理困難物",よ
燃やせるごみ ,よしず ,"巻いておく
幅140センチメートルを超え、4メートル以下は大型ごみ　　",よ
大型ごみ ,四輪バギー ,"電動式の場合、バッテリーは処理困難物
エンジン式は処理困難物",よ
燃やせるごみ ,ライター ,中身（液体ガス等）は空にする,ら
燃やせないごみ ,ラジオ・ラジカセ ,50センチメートルを超えるものは大型ごみ,ら
大型ごみ ,ラティス ,"3枚まで1点
50センチメートル以下は燃やせないごみ",ら
燃やせないごみ ,ランドセル ,,ら
燃やせないごみ ,リール（釣り具） ,,り
大型ごみ ,リヤカー ,解体する,り
燃やせないごみ ,リュックサック ,金具のついていないものは燃やせるごみ ,り
燃やせないごみ ,ルームランナー（健康器具） ,50センチメートルを超えるものは大型ごみ ,る
大型ごみ ,冷温庫 ,50センチメートル以下は燃やせないごみ,れ
家電リサイクル,冷蔵庫 ,家電リサイクル法対象品目,れ
家電リサイクル ,冷凍庫 ,家電リサイクル法対象品目,れ
大型ごみ ,冷風扇 ,50センチメートル以下は燃やせないごみ,れ
燃やせるごみ ,レーザーディスク ,,れ
燃やせないごみ ,レーザーディスクプレーヤー ,50センチメートルを超えるものは大型ごみ　,れ
燃やせるごみ ,レコード ,,れ
燃やせないごみ ,レコードプレーヤー ,50センチメートルを超えるものは大型ごみ,れ
燃やせるごみ ,レジャーシート ,,れ
燃やせないごみ ,レターケース ,50センチメートルを超えるものは大型ごみ,れ
処理困難物 ,レンガ ,,れ
大型ごみ ,ロールスクリーン ,50センチメートル以下は燃やせないごみ,ろ
大型ごみ ,ロッカー ,,ろ
燃やせないごみ ,ワープロ ,"50センチメートルを超えるものは大型ごみ
テレビ型は貼り紙などで「ワープロ」と表示する",わ
,,,
type,name,notice,furigana
燃やせるごみ,アイスノン,,あ
燃やせないごみ,アイスボックス,50センチメートルを超えるものは大型ごみ,あ
燃やせないごみ,アイロン,,あ
燃やせないごみ,アイロン台（家庭用）,50センチメートルを超えるものは大型ごみ,あ
大型ごみ,アコーディオンカーテン,2枚まで1点,あ
特定大型ごみ,脚付きマットレス,ベッドと同様の扱い,あ
燃やせないごみ,足踏み式健康器具（機械式）,50センチメートルを超えるものは大型ごみ,あ
古紙類,厚紙,,あ
廃食用油,油(食用),植物性油のみ廃食用油、動物性油は燃やせるごみ,あ
処理困難物,油(食用以外),市が収集処理できないもの,あ
大型ごみ,雨戸,"2枚まで1点
50センチメートル以下は燃やせないごみ",あ
燃やせないごみ,雨樋,140センチメートルを超えるものは大型ごみ（4メートルまで可）,あ
大型ごみ,編み機,50センチメートル以下は燃やせないごみ,あ
大型ごみ,網戸,"3枚まで1点
50センチメートル以下は燃やせないごみ
網だけの場合は燃やせるごみ",あ
燃やせるごみ,アルバム,金属がついているものは燃やせないごみ,あ
大型ごみ,アルミサッシ,枠のみは3枚まで1点　　ガラス付きは1枚で1点,あ
燃やせるごみ,アルミホイル,,あ
燃やせないごみ,アンテナ,50センチメートルを超えるものは大型ごみ,あ
燃やせないごみ,アンテナ（BS・CS）,50センチメートルを超えるものは大型ごみ,あ
燃やせないごみ,アンプ,50センチメートルを超えるものは大型ごみ,あ
大型ごみ,池（プラスチック製）,50センチメートル以下は燃やせないごみ,い
処理困難物,石,市が収集処理できないもの ,い
燃やせないごみ,衣装ケース（1段のもの）,"大きさにかかわらず燃やせないごみ
2段以上のものや厚い鉄板製などで50センチメートルを超えるものは大型ごみ",い
大型ごみ,椅子,50センチメートル以下は燃やせないごみ,い
燃やせるごみ,板,"長さ50センチメートル以下で厚さ3センチメートル以下のもの
厚さ3センチメートルを超えるものは木材欄を参照",い
大型ごみ,板,"長さ50センチメートルを超え2メートル未満のもの
厚さ3センチメートル以下は3枚まで1点",い
大型ごみ,一輪車,50センチメートル以下は燃やせないごみ,い
処理困難物,井戸ポンプ,市が収集処理できないもの ,い
大型ごみ,犬小屋,解体し洗う　　50センチメートル以下は燃やせないごみ,い
衣類・布類,衣類・布類,,い
家電リサイクル,衣類乾燥機,家電リサイクル法対象品目,い
大型ごみ,ウィンドサーフィン,"ボードで1点　　マスト・セール・ブームで各1点
ボード・マストは長さ2メートル未満のものに限る",う
燃やせないごみ,ウィンドファン,"50センチメートルを超えるものは大型ごみ
窓用エアコンは家電リサイクル法対象品目",う
燃やせないごみ,植木鉢（鉢のみ）,50センチメートルを超えるものは大型ごみ,う
燃やせるごみ,ウェットスーツ,,う
大型ごみ,ウォーターベッド,"中身が水の場合は水を抜いておく
中身が薬品の場合は抜くか、業者へ依頼する",う
大型ごみ,ウォシュレット便座,"洗ってから袋に入れる
50センチメートル以下は燃やせないごみ",う
処理困難物,臼,市が収集処理できないもの,う
大型ごみ,ウッドカーペット,長さ2メートル未満のもの,う
大型ごみ,ウッドデッキ,1坪以下のものに限る　　解体する,う
大型ごみ,ウッドパネル,"1枚で1点
50センチメートル以下は燃やせないごみ",う
大型ごみ,乳母車（手押し車）,50センチメートル以下は燃やせないごみ,う
家電リサイクル,エアコン,家電リサイクル法対象品目,え
大型ごみ,エアロバイク,,え
家電リサイクル,液晶テレビ,家電リサイクル法対象品目,え
燃やせるごみ,枝木・幹,"長さ50センチメートル以下で直径10センチメートル以下のもの
1～3袋または束にまとめる",え
燃やせないごみ,枝木・幹,"長さ50センチメートル以下で直径10センチメートルを超え20センチメートル以下のもの
1～3袋または束にまとめる",え
大型ごみ,枝木・幹,"長さ50センチメートルを超え2メートル未満で直径20センチメートル以下のもの
3本まで1点",え
処理困難物,枝木・幹,長さ2メートルを超えるものや直径20センチメートルを超えるもの,え
燃やせるごみ,絵の具,,え
燃やせるごみ,オアシス,,お
特定大型ごみ,オイルヒーター,50センチメートルを超えるものは大型ごみ,お
燃やせないごみ,オーディオラック,50センチメートルを超えるものは大型ごみ,お
燃やせないごみ,オーブントースター,50センチメートルを超えるものは大型ごみ,お
大型ごみ,オーブンレンジ,50センチメートル以下は燃やせないごみ,お
大型ごみ,おまる（便座）,"洗ってから袋に入れる
50センチメートル以下は燃やせないごみ",お
燃やせるごみ,おむつ,,お
燃やせないごみ,おもちゃ,"電動の場合、電池は取り外す
50センチメートルを超えるものは大型ごみ",お
大型ごみ,オルガン,,お
大型ごみ,オルガン（電気）,,お
処理困難物,オルガン（電子）,市が収集処理できないもの,お
金属類,おろし金,「金属類」指定10品目,お
処理困難物,温水器,市が収集処理できないもの,お
衣類・布類 ,カーテン ,金具ははずして燃やせないごみ,か
大型ごみ ,カーテンレール ,"3本まで1点（4メートルまで可）
ダブルタイプも同様の扱い
140センチメートル以下は燃やせないごみ",か
燃やせないごみ ,ガーデンパラソル ,固定用のコンクリート台は処理困難物,か
大型ごみ ,カーペット ,1畳以下は燃やせるごみ,か
燃やせるごみ ,貝殻 ,,か
燃やせるごみ ,カイロ ,,か
燃やせないごみ ,鏡 ,50センチメートルを超えるものは大型ごみ,か
燃やせないごみ ,額 ,"50センチメートルを超えるものは大型ごみ
木製でも金属製でも同様の扱い
3枚まで1点",か
木材欄を参照 ,角材 ,,か
燃やせないごみ ,傘 ,大きさにかかわらず燃やせないごみ ,か
大型ごみ ,傘立て ,50センチメートル以下は燃やせないごみ,か
燃やせないごみ ,加湿器 ,50センチメートルを超えるものは大型ごみ,か
特定粗大ごみ ,ガスコンベック ,点火装置が危険なため　　電池は取り外す,か
特定粗大ごみ ,ガスストーブ ,点火装置が危険なため　　電池は取り外す,か
特定粗大ごみ ,ガステーブルレンジ ,点火装置が危険なため　　電池は取り外す,か
特定粗大ごみ ,ガスファンヒーター ,点火装置が危険なため　　電池は取り外す,か
処理困難物 ,ガス容器 ,容量5キログラム未満のプロパンガスボンベは「特定粗大ごみ」,か
特定粗大ごみ ,カセットコンロ ,点火装置が危険なため　　カセットボンベ・電池は取り外す,か
燃やせるごみ ,カセットテープ ,,か
燃やせないごみ ,カセットデッキ ,50センチメートルを超えるものは大型ごみ,か
かん ,カセットボンベ（カセットコンロ用） ,中身を使い切り、火の気のない風通しの良いところで穴をあける等で必ずガス抜きをする,か
燃やせるごみ ,かっぱ（雨具） ,,か
燃やせないごみ ,かばん ,金具のついていないものは燃やせるごみ,か
燃やせないごみ ,花びん ,50センチメートルを超えるものは「大型ごみ」,か
燃やせるごみ ,壁紙 ,,か
古紙類 ,紙パック（飲料用） ,透明・半透明の袋に入れる,か
古紙類 ,紙箱,束ねて、ひもで十文字にしばる,か
古紙類 ,紙袋 ,束ねて、ひもで十文字にしばる,か
燃やせないごみ ,カラーコーン ,ごみとわかるように表記する,か
大型ごみ ,カラーボックス ,50センチメートル以下は燃やせないごみ,か
燃やせないごみ ,ガラス ,"50センチメートルを超えるもは大型ごみ
3枚まで1点",か
大型ごみ ,ガラス障子 ,ガラスが一部のものは3枚まで1点,か
大型ごみ ,ガラス戸 ,1枚で1点,か
古紙類 ,カレンダー ,金属部分は燃やせないごみ,か
処理困難物 ,瓦 ,市が収集処理できないもの ,か
かん ,缶（飲食料用） ,中を空にし、すすぐ（きれいにする）,か
燃やせないごみ ,缶（一斗かん） ,中を空にし、ふたをとる,か
燃やせないごみ ,缶（オイル） ,中を空にする,か
かん ,缶（お菓子） ,中を空にし、すすぐ（きれいにする）,か
かん ,缶（食用油） ,中を空にし、すすぐ（きれいにする）,か
かん ,缶（スプレーかん） ,中身を使い切り、火の気のない風通しの良いところで穴をあけるなど、必ずガス抜きをする,か
燃やせないごみ ,缶（ペンキ） ,中を空にする,か
木材欄を参照,木,,き
大型ごみ,キーボード,"台も含む
50センチメートル以下は燃やせないごみ",き
燃やせないごみ,ギター,大きさにかかわらず燃やせないごみ ,き
大型ごみ,ギターアンプ,50センチメートル以下は燃やせないごみ,き
燃やせないごみ,ギターケース,50センチメートルを超えるものは大型ごみ,き
燃やせないごみ,キックボード,"50センチメートルを超えるものは大型ごみ
電動式の場合、バッテリーは処理困難物
エンジン式は処理困難物",き
大型ごみ,杵,50センチメートル以下は燃やせないごみ,き
大型ごみ,脚立,50センチメートル以下は燃やせないごみ,き
燃やせないごみ,キャップ（金属製のふた）,,き
プラスチック製容器包装類,キャップ（プラスチック製のふた）,プラマークがなければ燃やせるごみ　,き
大型ごみ,キャンバス,"3枚まで1点
50センチメートル以下は燃やせないごみ",き
特定粗大ごみ,給湯器（台所用）,"点火装置が危険なため　　電池は取り外す
50センチメートルを超えるものは大型ごみ",き
特定大型ごみ,鏡台,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",き
燃やせないごみ,切り株,長さ50センチメートル以下のもの,き
大型ごみ,切り株,長さ50センチメートルを超え2メートル未満のもの,き
処理困難物,切り株,幹の切断面が直径20センチメートルを超えるもの,き
処理困難物,金庫（耐火）,市が収集処理できないもの,き
燃やせないごみ,金庫（手提げ）,50センチメートルを超えるものは大型ごみ,き
燃やせないごみ,空気入れ,,く
大型ごみ,空気清浄機,50センチメートル以下は燃やせないごみ,く
燃やせないごみ,クーラーボックス,50センチメートルを超えるものは大型ごみ,く
大型ごみ,草刈機,"50センチメートル以下は燃やせないごみ
エンジン式は処理困難物",く
燃やせるごみ,くつ・履き物,"皮革製品のくつ・履き物も同様の扱い
スキーぐつ・スケートぐつは燃やせないごみ　",く
燃やせるごみ,クッション,,く
大型ごみ,車椅子（手動式）,,く
処理困難物,車椅子（電動式）,市が収集処理できないもの,く
燃やせるごみ,車のカバー,折りたたむ,く
処理困難物,車の部品,市が収集処理できないもの,く
大型ごみ,,"カーキャリアやカーオーディオなど自分で後から取り付けるもの
50センチメートル以下は燃やせないごみ",く
特定大型ごみ,クローゼット,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",く
燃やせないごみ,くわ,50センチメートルを超えるものは大型ごみ,く
燃やせないごみ,蛍光灯,"長さ140センチメートル以下のもの
袋または購入時の箱などに入れる",け
大型ごみ,,"長さ140センチメートルを超えるもの　　3本まで1点
袋または購入時の箱などに入れる",け
燃やせないごみ,携帯電話,なるべく販売店などへ返却する,け
燃やせないごみ,ゲーム機（本体）,50センチメートルを超えるものは大型ごみ,け
燃やせるごみ,ゲームソフト,ケースも含む,け
かん,化粧品（スプレーかん）,中身を使い切り、火の気のない風通しの良いところで穴をあけるなど、必ずガス抜きをする,け
びん,化粧品（びん）,乳白色のものや中身の見えないものは燃やせないごみ　,け
燃やせないごみ,化粧品（乳白色のびん）,金属製のびんも同様の扱い,け
プラスチック製容器包装類,化粧品（プラスチック製容器）,プラマークがなければ燃やせるごみ　,け
 燃やせるごみ,下駄,,け
大型ごみ ,下駄箱,50センチメートル以下は燃やせないごみ ,け
燃やせるごみ ,玄関マット（布製）,,け
処理困難物 ,建築廃材 ,市が収集処理できないもの ,け
処理困難物,耕運機,市が収集処理できないもの ,こ
燃やせるごみ,行李,大きさにかかわらず燃やせるごみ ,こ
燃やせないごみ,コーヒーメーカー,50センチメートルを超えるものは大型ごみ,こ
大型ごみ,五月人形,"セットで1点
50センチメートル以下は燃やせないごみ",こ
大型ごみ,ござ,"カーペットと同様の扱い
1畳以下は燃やせるごみ",こ
大型ごみ,こたつ,"こたつ板と合わせて1点
こたつ板のみの場合は板と同様の扱い",こ
大型ごみ,こたつ布団,布団と同様の扱い　　3枚まで1点,こ
燃やせないごみ,コップ,,こ
大型ごみ,琴,50センチメートル以下は燃やせないごみ,こ
燃やせないごみ,碁盤,"50センチメートルを超えるものは大型ごみ
厚さ20センチメートルを超えるものは処理困難物",こ
大型ごみ,コピー機,"台は含まない
50センチメートル以下は燃やせないごみ",こ
燃やせるごみ,ごみ集積場所用ネット,たたんでまとめ、ビニール袋に入れる,こ
燃やせないごみ,ごみ箱（室内用）,大きさにかかわらず燃やせないごみ,こ
燃やせるごみ,ゴム手袋,,こ
燃やせるごみ,ゴムホース,丸めてひもで縛る,こ
燃やせないごみ,ゴムホース（リール付き）,50センチメートルを超えるものは大型ごみ,こ
燃やせないごみ,ゴムマット,,こ
大型ごみ,米びつ,50センチメートル以下は燃やせないごみ,こ
燃やせないごみ,コルクボード,"50センチメートルを超えるものは大型ごみ
3枚まで1点　",こ
燃やせないごみ,ゴルフクラブ,大きさにかかわらず燃やせないごみ　,こ
燃やせないごみ,ゴルフバッグ,大きさにかかわらず燃やせないごみ　,こ
燃やせるごみ,ゴルフボール,,こ
処理困難物,コンクリート製品,市が収集処理できないもの,こ
処理困難物,コンプレッサー,市が収集処理できないもの,こ
大型ごみ,コンポスト,50センチメートル以下は燃やせないごみ,こ
大型ごみ ,サーフボード ,"2メートル未満のものに限る
2メートル以上でも切断すれば大型ごみ",さ
大型ごみ ,座椅子 ,折りたたんだ状態で50センチメートル以下は燃やせないごみ,さ
特定大型ごみ ,サイドボード ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",さ
大型ごみ ,サウナ（家庭用） ,,さ
古紙類 ,雑紙 ,束ねて、ひもで十文字にしばる,さ
燃やせるごみ ,座布団 ,"1回で1枚から3枚ずつ排出する
長座布団も同様の扱い",さ
燃やせないごみ ,サマーベッド ,"折りたためるものに限る
折りたためないものは大型ごみ ",さ
燃やせないごみ ,皿 ,,さ
金属類 ,ざる ,「金属類」指定10品目,さ
処理困難物,酸素ボンベ（スキューバダイビング用） ,市が収集処理できないもの ,さ
燃やせないごみ ,三輪車（子ども用） ,大きさに関わらず燃やせないごみ,さ
衣類・布類 ,シーツ ,ボアシーツも同様の扱い　,し
燃やせるごみ ,CD・DVD ,ケースも含む　,し
燃やせないごみ ,CDプレーヤー ,50センチメートルを超えるものは大型ごみ,し
燃やせないごみ ,磁器 ,50センチメートルを超えるものは大型ごみ,し
燃やせるごみ ,磁器枕 ,,し
古紙類 ,辞書 ,,し
燃やせないごみ ,七輪 ,餅・魚の焼き網は「金属類」　,し
大型ごみ ,自転車 ,電動式の場合、バッテリーは取り外して販売店へ,し
燃やせないごみ ,竹刀 ,大きさに関わらず燃やせないごみ ,し
